,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
105027,53160,Christine Sotto Jacob (-Sandejas),F,17.0,166.0,50.0,Philippines,PHI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,
105037,53169,Lisa Rae Jacob,F,22.0,167.0,57.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
105038,53169,Lisa Rae Jacob,F,22.0,167.0,57.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
105044,53172,Rainer Jacob,M,25.0,187.0,80.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
105050,53176,Gisela Jacob-Arendt,F,17.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,Bronze
105051,53176,Gisela Jacob-Arendt,F,17.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
105052,53176,Gisela Jacob-Arendt,F,33.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
105063,53184,Alfredo Jacobo Rodrguez,M,18.0,186.0,70.0,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,
105068,53188,"Christopher Charles ""Chris"" Jacobs",M,23.0,185.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,Silver
105069,53188,"Christopher Charles ""Chris"" Jacobs",M,23.0,185.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
105070,53188,"Christopher Charles ""Chris"" Jacobs",M,23.0,185.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
105123,53208,Else Agnes Ella Jacobsen (-Baade),F,16.0,,,Denmark,DEN,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 100 metres Backstroke,
105124,53208,Else Agnes Ella Jacobsen (-Baade),F,16.0,,,Denmark,DEN,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 200 metres Breaststroke,
105125,53208,Else Agnes Ella Jacobsen (-Baade),F,21.0,,,Denmark,DEN,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
105134,53214,Mette Jacobsen,F,15.0,172.0,61.0,Denmark,DEN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Freestyle,
105135,53214,Mette Jacobsen,F,15.0,172.0,61.0,Denmark,DEN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
105136,53214,Mette Jacobsen,F,15.0,172.0,61.0,Denmark,DEN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Butterfly,
105137,53214,Mette Jacobsen,F,15.0,172.0,61.0,Denmark,DEN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
105138,53214,Mette Jacobsen,F,19.0,172.0,61.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Freestyle,
105139,53214,Mette Jacobsen,F,19.0,172.0,61.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,
105140,53214,Mette Jacobsen,F,19.0,172.0,61.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
105141,53214,Mette Jacobsen,F,19.0,172.0,61.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Butterfly,
105142,53214,Mette Jacobsen,F,19.0,172.0,61.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
105143,53214,Mette Jacobsen,F,23.0,172.0,61.0,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Freestyle,
105144,53214,Mette Jacobsen,F,23.0,172.0,61.0,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
105145,53214,Mette Jacobsen,F,23.0,172.0,61.0,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,
105146,53214,Mette Jacobsen,F,23.0,172.0,61.0,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Backstroke,
105147,53214,Mette Jacobsen,F,23.0,172.0,61.0,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,
105148,53214,Mette Jacobsen,F,27.0,172.0,61.0,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
105149,53214,Mette Jacobsen,F,27.0,172.0,61.0,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,
105150,53214,Mette Jacobsen,F,27.0,172.0,61.0,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,
105151,53214,Mette Jacobsen,F,31.0,172.0,61.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,
105152,53214,Mette Jacobsen,F,31.0,172.0,61.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,
105153,53214,Mette Jacobsen,F,31.0,172.0,61.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
105162,53221,Uwe Jacobsen,M,19.0,182.0,79.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
105163,53221,Uwe Jacobsen,M,19.0,182.0,79.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
105164,53221,Uwe Jacobsen,M,24.0,182.0,79.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 100 metres Freestyle,
105165,53221,Uwe Jacobsen,M,24.0,182.0,79.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
105198,53237,Pieter Johannes Jacobszoon,M,20.0,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 100 metres Freestyle,
105239,53244,Fernando Jos Jcome Clavijo,M,20.0,180.0,70.0,Colombia,COL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,
105240,53244,Fernando Jos Jcome Clavijo,M,20.0,180.0,70.0,Colombia,COL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,
105252,53250,Thierry Jacot,M,22.0,193.0,81.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Freestyle,
105253,53250,Thierry Jacot,M,22.0,193.0,81.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
105319,53283,Connor Jaeger,M,21.0,185.0,77.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",
105320,53283,Connor Jaeger,M,25.0,185.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,
105321,53283,Connor Jaeger,M,25.0,185.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
105333,53292,Scott Erik Jaffe,M,23.0,193.0,84.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
105343,53297,Ulla Birgitta Elisabeth Jfvert (-Fahln),F,18.0,170.0,60.0,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Freestyle,
105344,53297,Ulla Birgitta Elisabeth Jfvert (-Fahln),F,18.0,170.0,60.0,Sweden,SWE,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
105375,53310,Regina Jger,F,15.0,171.0,56.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Freestyle,
105376,53310,Regina Jger,F,15.0,171.0,56.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 800 metres Freestyle,
105377,53311,"Thomas Michael ""Tom"" Jager",M,19.0,190.0,82.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
105378,53311,"Thomas Michael ""Tom"" Jager",M,19.0,190.0,82.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
105379,53311,"Thomas Michael ""Tom"" Jager",M,23.0,190.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 50 metres Freestyle,Silver
105380,53311,"Thomas Michael ""Tom"" Jager",M,23.0,190.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
105381,53311,"Thomas Michael ""Tom"" Jager",M,23.0,190.0,82.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
105382,53311,"Thomas Michael ""Tom"" Jager",M,27.0,190.0,82.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,Bronze
105383,53311,"Thomas Michael ""Tom"" Jager",M,27.0,190.0,82.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
105451,53342,Sebastin Jahnsen Madico,M,21.0,179.0,72.0,Peru,PER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,
105500,53365,Jairulla Jaitulla,M,18.0,172.0,73.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
105501,53365,Jairulla Jaitulla,M,18.0,172.0,73.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
105502,53365,Jairulla Jaitulla,M,18.0,172.0,73.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Individual Medley,
105503,53365,Jairulla Jaitulla,M,18.0,172.0,73.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Individual Medley,
105504,53365,Jairulla Jaitulla,M,30.0,172.0,73.0,Philippines,PHI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,
105505,53365,Jairulla Jaitulla,M,30.0,172.0,73.0,Philippines,PHI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,
105506,53365,Jairulla Jaitulla,M,30.0,172.0,73.0,Philippines,PHI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,
105507,53365,Jairulla Jaitulla,M,30.0,172.0,73.0,Philippines,PHI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Individual Medley,
105518,53373,"Zsuzsanna ""Zsu"" Jakabos",F,15.0,185.0,70.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Individual Medley,
105519,53373,"Zsuzsanna ""Zsu"" Jakabos",F,19.0,185.0,70.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
105520,53373,"Zsuzsanna ""Zsu"" Jakabos",F,19.0,185.0,70.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Individual Medley,
105521,53373,"Zsuzsanna ""Zsu"" Jakabos",F,23.0,185.0,70.0,Hungary,HUN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
105522,53373,"Zsuzsanna ""Zsu"" Jakabos",F,23.0,185.0,70.0,Hungary,HUN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,
105523,53373,"Zsuzsanna ""Zsu"" Jakabos",F,23.0,185.0,70.0,Hungary,HUN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Individual Medley,
105524,53373,"Zsuzsanna ""Zsu"" Jakabos",F,23.0,185.0,70.0,Hungary,HUN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
105525,53373,"Zsuzsanna ""Zsu"" Jakabos",F,27.0,185.0,70.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
105526,53373,"Zsuzsanna ""Zsu"" Jakabos",F,27.0,185.0,70.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,
105527,53373,"Zsuzsanna ""Zsu"" Jakabos",F,27.0,185.0,70.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,
105616,53418,Artrs Jakovevs,M,25.0,192.0,85.0,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,
105617,53418,Artrs Jakovevs,M,29.0,192.0,85.0,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,
105618,53418,Artrs Jakovevs,M,33.0,192.0,85.0,Latvia,LAT,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
105674,53446,Bunturabie Effuah Rashida Jalloh,F,18.0,,79.0,Sierra Leone,SLE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,
105685,53450,Mimosa Jallow,F,22.0,176.0,63.0,Finland,FIN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,
105686,53450,Mimosa Jallow,F,22.0,176.0,63.0,Finland,FIN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
105687,53451,"Ammante E. ""Amman"" Jalmaani",M,15.0,175.0,66.0,Philippines,PHI,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Breaststroke,
105688,53451,"Ammante E. ""Amman"" Jalmaani",M,19.0,175.0,66.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
105689,53451,"Ammante E. ""Amman"" Jalmaani",M,19.0,175.0,66.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Breaststroke,
105690,53451,"Ammante E. ""Amman"" Jalmaani",M,19.0,175.0,66.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Breaststroke,
105691,53451,"Ammante E. ""Amman"" Jalmaani",M,19.0,175.0,66.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
105692,53451,"Ammante E. ""Amman"" Jalmaani",M,23.0,175.0,66.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Breaststroke,
105693,53451,"Ammante E. ""Amman"" Jalmaani",M,23.0,175.0,66.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Breaststroke,
105694,53451,"Ammante E. ""Amman"" Jalmaani",M,23.0,175.0,66.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
105701,53457,Hanna Maria Jaltner (-Scramaglia),F,20.0,,,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,
105702,53457,Hanna Maria Jaltner (-Scramaglia),F,20.0,,,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
105723,53469,Amanda Elizabeth James,F,15.0,169.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Backstroke,
105724,53470,Antony John James,M,22.0,180.0,75.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,
105740,53481,Hilda Marjorie James (-McAllister),F,15.0,,,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Women's 300 metres Freestyle,
105741,53481,Hilda Marjorie James (-McAllister),F,15.0,,,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
105748,53487,Karen James (-Sully),F,19.0,,,Canada,CAN,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Individual Medley,
105791,53516,"Andrew David ""Andy"" Jameson",M,19.0,190.0,79.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,
105792,53516,"Andrew David ""Andy"" Jameson",M,19.0,190.0,79.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
105793,53516,"Andrew David ""Andy"" Jameson",M,23.0,190.0,79.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,
105794,53516,"Andrew David ""Andy"" Jameson",M,23.0,190.0,79.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
105795,53516,"Andrew David ""Andy"" Jameson",M,23.0,190.0,79.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,Bronze
105796,53516,"Andrew David ""Andy"" Jameson",M,23.0,190.0,79.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
105800,53519,Helen Jameson,F,16.0,173.0,60.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Backstroke,
105801,53519,Helen Jameson,F,16.0,173.0,60.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Backstroke,
105802,53519,Helen Jameson,F,16.0,173.0,60.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
105823,53535,Michael John Jamieson,M,23.0,186.0,81.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,
105824,53535,Michael John Jamieson,M,23.0,186.0,81.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,Silver
105825,53535,Michael John Jamieson,M,23.0,186.0,81.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
105832,53540,"Catherine ""Cathy"" Jamison (-Imwalle)",F,18.0,171.0,61.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Breaststroke,
105833,53541,"Douglas ""Doug"" Jamison",M,19.0,189.0,86.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Individual Medley,
105933,53589,Pavel Janeek,M,22.0,196.0,85.0,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,
105945,53593,Hannelore Janele,F,17.0,155.0,56.0,Austria,AUT,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Butterfly,
105948,53596,Riley Janes,M,24.0,197.0,95.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
105949,53596,Riley Janes,M,24.0,197.0,95.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
105994,53616,Jang Gyu-Cheol,M,20.0,183.0,83.0,South Korea,KOR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,
105996,53618,Jang Hui-Jin,F,14.0,171.0,60.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
105997,53618,Jang Hui-Jin,F,14.0,171.0,60.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Freestyle,
105998,53618,Jang Hui-Jin,F,14.0,171.0,60.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
105999,53618,Jang Hui-Jin,F,21.0,171.0,60.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
106000,53618,Jang Hui-Jin,F,21.0,171.0,60.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,
106084,53663,Lars Henrik Jangvall,M,21.0,194.0,81.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,
106085,53663,Lars Henrik Jangvall,M,21.0,194.0,81.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
106116,53681,Florian Janistyn,M,20.0,190.0,77.0,Austria,AUT,2008 Summer,2008,Summer,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",
106117,53681,Florian Janistyn,M,20.0,190.0,77.0,Austria,AUT,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
106118,53681,Florian Janistyn,M,24.0,190.0,77.0,Austria,AUT,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
106289,53773,"Katharine ""Kati"" Jansen",F,18.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
106290,53773,"Katharine ""Kati"" Jansen",F,22.0,,,Germany,GER,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Freestyle,
106291,53773,"Katharine ""Kati"" Jansen",F,22.0,,,Germany,GER,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
106293,53775,Louise Mai Jansen,F,20.0,175.0,60.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,
106294,53775,Louise Mai Jansen,F,20.0,175.0,60.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Individual Medley,
106295,53775,Louise Mai Jansen,F,24.0,175.0,60.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,
106296,53775,Louise Mai Jansen,F,24.0,175.0,60.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
106347,53803,Martine Stephanie Janssen,F,15.0,180.0,64.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,
106348,53803,Martine Stephanie Janssen,F,15.0,180.0,64.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,
106350,53805,Christelle Janssens,F,16.0,163.0,61.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,
106351,53805,Christelle Janssens,F,16.0,163.0,61.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle,
106436,53846,"Maria Alida Catharina ""Marjan"" Janus",F,16.0,165.0,60.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Breaststroke,
106441,53848,Vytautas Januaitis,M,22.0,186.0,81.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
106442,53848,Vytautas Januaitis,M,22.0,186.0,81.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,
106443,53848,Vytautas Januaitis,M,22.0,186.0,81.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Individual Medley,
106444,53848,Vytautas Januaitis,M,26.0,186.0,81.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,
106445,53848,Vytautas Januaitis,M,26.0,186.0,81.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,
106446,53848,Vytautas Januaitis,M,30.0,186.0,81.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,
106447,53848,Vytautas Januaitis,M,30.0,186.0,81.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,
106455,53853,Zbigniew Januszkiewicz,M,17.0,177.0,65.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Backstroke,
106457,53855,"Alexandre ""Alex"" Jany",M,19.0,187.0,107.0,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
106458,53855,"Alexandre ""Alex"" Jany",M,19.0,187.0,107.0,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,
106459,53855,"Alexandre ""Alex"" Jany",M,19.0,187.0,107.0,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
106460,53855,"Alexandre ""Alex"" Jany",M,23.0,187.0,107.0,France,FRA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,
106461,53855,"Alexandre ""Alex"" Jany",M,23.0,187.0,107.0,France,FRA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
106462,53855,"Alexandre ""Alex"" Jany",M,27.0,187.0,107.0,France,FRA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 100 metres Freestyle,
106463,53855,"Alexandre ""Alex"" Jany",M,27.0,187.0,107.0,France,FRA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
106466,53857,Ginette Jany-Sendral,F,16.0,,,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,
106467,53857,Ginette Jany-Sendral,F,16.0,,,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
106468,53857,Ginette Jany-Sendral,F,16.0,,,France,FRA,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 100 metres Backstroke,
106469,53857,Ginette Jany-Sendral,F,20.0,,,France,FRA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 400 metres Freestyle,
